angDist,_RAJ2000,_DEJ2000,E,GaiaDR2,RAJ2000,DEJ2000,PRF,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.178401,133.08911958572,11.84494504588,,604907012195819648,133.08911958572,11.84494504588,1.0,Simbad,133.08916861892,11.84495740844,0.0002934,0.0001867,94.09,604907012195819648,133.08911802682,0.0141,11.84494472542,0.0069,1.2010,0.0164,73.2868,11.501,-11.141,0.018,-2.854,0.012,416,-0.3671,612.58,0.056,4.064e+00,31,,,18,0.986,0,1.69532e+05,3.59017e+01,12.614237,9.90308e+04,4.26769e+02,12.849116,1.13819e+05,12.107360,1.256,0.741756,37.23,1.19,14,6000.0,3.5,122211330891474457,1237671262272356944,,510153511,0.002765,0.005448,0.006213,12.614237,0.002765,1.69532e+05,0.060,0.2929,0.1874,-0.0663
0.181233,132.70285723517,12.00252783243,,604971020092675328,132.70285723517,12.00252783243,1.0,Simbad,132.70290717360,12.00254001279,0.0002773,0.0001806,117.17,604971020092675328,132.70285566126,0.0132,12.00252748115,0.0073,1.1260,0.0164,68.8588,11.682,-11.337,0.016,-2.820,0.013,384,-0.2051,572.28,0.053,3.717e+00,31,,,17,0.992,0,1.66793e+05,3.24404e+01,12.631922,9.30340e+04,5.75874e+01,12.916938,1.05236e+05,12.192488,1.189,0.724450,,,0,,,122401327028343565,1237671262809096400,,511152047,0.002763,0.002870,0.003827,12.631922,0.002763,1.66793e+05,-0.005,0.2601,0.2045,-0.3380
0.174741,132.85116442175,12.21103573913,,605000745561898240,132.85116442175,12.21103573913,1.0,Simbad,132.85121217117,12.21104908205,0.0007154,0.0004858,108.23,605000745561898240,132.85116287444,0.0345,12.21103530617,0.0196,1.1615,0.0419,27.7532,11.275,-10.841,0.043,-3.100,0.032,432,-1.2468,407.65,0.000,0.000e+00,31,,,18,0.957,0,8.10618e+03,2.45338e+00,15.915327,3.63377e+03,1.37445e+01,16.437650,6.34135e+03,15.242442,1.231,1.195209,,,0,,,122651328512003724,1237671262809162028,,512149098,0.002775,0.004965,0.004274,15.915327,0.002775,8.10618e+03,-0.005,0.6963,0.5129,-0.2294
0.177507,132.80217464901,12.18814056287,,605001329677769088,132.80217464901,12.18814056287,1.0,Simbad,132.80222335858,12.18815338365,0.0003739,0.0002500,106.03,605001329677769088,132.80217308543,0.0179,12.18814014711,0.0098,1.1324,0.0213,53.2188,11.451,-11.056,0.022,-2.978,0.016,407,-0.3975,396.33,0.000,0.000e+00,31,,,18,0.985,0,3.85274e+04,7.25332e+00,14.222943,2.05094e+04,1.49621e+01,14.558661,2.56818e+04,13.723833,1.199,0.834827,,,0,,,122621328022146265,1237671262809161908,,511152136,0.002763,0.002900,0.003879,14.222943,0.002763,3.85274e+04,-0.004,0.3660,0.2616,-0.2143
0.177719,132.62443215781,12.13526813038,,604988784077232384,132.62443215781,12.13526813038,1.0,Simbad,132.62448107069,12.13528038963,0.0002612,0.0001689,123.05,604988784077232384,132.62443059672,0.0120,12.13526778835,0.0069,1.1489,0.0143,80.5229,11.459,-11.103,0.015,-2.835,0.013,355,-2.2643,456.70,0.038,2.017e+00,31,,,18,0.915,0,2.00785e+05,3.55992e+01,12.430536,1.09428e+05,7.20972e+01,12.740717,1.30377e+05,11.959896,1.194,0.780821,33.44,1.34,9,6000.0,3.5,122561326244242860,1237671262809096266,,511151969,0.002762,0.002880,0.003794,12.430536,0.002762,2.00785e+05,-0.004,0.2375,0.2009,-0.3802
0.178350,132.86621974742,11.58257634888,,604894913272261632,132.86621974742,11.58257634888,1.0,Simbad,132.86626874063,11.58258862953,0.0004590,0.0003183,104.04,604894913272261632,132.86621817382,0.0231,11.58257595916,0.0121,1.1285,0.0269,41.9660,11.505,-11.146,0.028,-2.851,0.020,409,0.4897,430.98,0.000,0.000e+00,31,,,17,1.016,0,2.31802e+04,4.64009e+00,14.774575,1.18833e+04,1.36362e+01,15.151203,1.60439e+04,14.234624,1.205,0.916579,,,0,,,121891328662799601,1237671124833468700,,508147341,0.002764,0.003056,0.003886,14.774575,0.002764,2.31802e+04,-0.005,0.4520,0.3283,-0.1735
0.177403,133.04723589924,11.76053641618,,604905500367349888,133.04723589924,11.76053641618,1.0,Simbad,133.04728456942,11.76054898594,0.0003171,0.0001967,101.26,604905500367349888,133.04723435038,0.0145,11.76053607660,0.0072,1.2013,0.0187,64.3376,11.437,-11.062,0.020,-2.905,0.013,393,-0.9879,535.49,0.052,3.085e+00,31,,,17,0.964,0,1.57332e+05,2.82823e+01,12.695327,7.90270e+04,4.67159e+01,13.094103,1.11914e+05,12.125686,1.214,0.968417,,,0,,,122111330473153134,1237671262272356737,,509150704,0.002762,0.002863,0.003799,12.695327,0.002762,1.57332e+05,-0.000,0.3134,0.2026,-0.1866
0.171380,132.9153743203,12.20301742714,,605002016872204416,132.9153743203,12.20301742714,1.0,Simbad,132.91542130937,12.20302995618,0.0005580,0.0003905,109.94,605002016872204416,132.91537281002,0.0275,12.20301701423,0.0150,1.1365,0.0322,35.2853,11.056,-10.666,0.034,-2.912,0.026,451,1.7145,519.09,0.057,7.221e-01,31,,,18,1.057,0,1.39076e+04,3.45842e+00,15.329233,6.62462e+03,1.09955e+01,15.785641,1.03732e+04,14.708111,1.222,1.077530,,,0,,,122641329154094092,1237671262809227350,,512149128,0.002769,0.003322,0.004003,15.329233,0.002769,1.39076e+04,-0.002,0.5412,0.4135,-0.2276
0.177027,132.6194877912,11.89167452839,,604964010706281856,132.6194877912,11.89167452839,1.0,Simbad,132.61953647839,11.89168670685,0.0009646,0.0006876,117.20,604964010706281856,132.61948622265,0.0447,11.89167412911,0.0251,1.2614,0.0513,24.5715,11.421,-11.065,0.057,-2.830,0.047,403,-2.6518,341.24,0.000,0.000e+00,31,,,18,0.907,0,5.36422e+03,2.54754e+00,16.363602,2.15290e+03,1.08431e+01,17.005983,4.58490e+03,15.594570,1.256,1.411413,,,0,,,122271326195240511,1237671125370274160,,510152856,0.002803,0.006139,0.004528,16.363602,0.002803,5.36422e+03,-0.004,0.9137,0.7539,-0.2701
0.174740,132.72814672723,11.73726406976,,604913952863073920,132.72814672723,11.73726406976,1.0,Simbad,132.72819469068,11.73727634663,0.0012448,0.0008500,111.25,604913952863073920,132.72814517313,0.0591,11.73726367567,0.0320,1.1515,0.0686,16.7760,11.275,-10.908,0.074,-2.851,0.057,390,-0.6269,383.88,0.000,0.000e+00,31,,,18,0.977,0,3.51295e+03,2.01603e+00,16.823189,1.28628e+03,1.12678e+01,17.565205,3.18832e+03,15.988990,1.274,1.576215,,,0,,,122081327282005203,1237670964308476481,,509150282,0.002825,0.009912,0.005112,16.823189,0.002825,3.51295e+03,-0.006,1.2004,0.9117,-0.2553
0.175469,132.84977065044,11.58065417105,,604895089366706304,132.84977065044,11.58065417105,1.0,Simbad,132.84981867647,11.58066690630,0.0003513,0.0002447,106.85,604895089366706304,132.84976910452,0.0174,11.58065376440,0.0093,1.1393,0.0204,55.9829,11.320,-10.927,0.022,-2.957,0.016,358,0.8457,378.46,0.000,0.000e+00,31,,,16,1.031,0,5.37137e+04,9.46793e+00,13.862155,2.79540e+04,2.11930e+01,14.222431,3.67146e+04,13.335797,1.204,0.886634,,,0,,,121891328498607285,1237671124833468656,,508147329,0.002762,0.002909,0.003937,13.862155,0.002762,5.37137e+04,-0.003,0.3436,0.2554,-0.2007
0.173761,132.72230215752,11.81593364443,,604915597834696448,132.72230215752,11.81593364443,1.0,Simbad,132.72234995687,11.81594550706,0.0005095,0.0003429,116.38,604915602131975552,132.72230061209,0.0249,11.81593326061,0.0136,1.1716,0.0304,38.5675,11.211,-10.867,0.030,-2.755,0.024,396,0.1737,411.76,0.000,0.000e+00,95,1.5172,0.0049,17,1.005,0,1.94137e+04,5.01437e+00,14.967095,9.75493e+03,1.60527e+01,15.365481,1.36404e+04,14.410830,1.205,0.954652,,,0,,,122171327223579609,1237671125370339428,,510152960,0.002770,0.003313,0.003904,14.969243,0.002770,1.93753e+04,-0.008,0.4812,0.3816,-0.3078
